site,treatment,plot,co2,temperature_offset_C,year,model_var,obs,obs_err,units,source_variable,source_components,source_file,pft_group,pft_indices,anpp_tree,anpp_shrub,npp_sphagnum,bnpp_tree_shrub,rhco2,notes
US-SPR,TAMB,P07,Amb,0,2016,NPP,213.5,32.025,gC m-2 y-1,total_npp,ANPP Tree (~48%C)+ANPP Shrub (~50%C)+NPP Sphag.+BNPP Tree & Shrub,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,,,54.6,56.4,93.1,9.4,-369.9,"sum of tree ANPP, shrub ANPP, sphagnum NPP, and tree/shrub BNPP"
US-SPR,TAMB,P07,Amb,0,2016,AGNPP_pftgroup_tree,54.6,8.19,gC m-2 y-1,ANPP Tree (~48%C),ANPP Tree (~48%C),SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,tree,"3,5",54.6,56.4,93.1,9.4,-369.9,measured tree aboveground NPP
US-SPR,TAMB,P07,Amb,0,2016,AGNPP_pftgroup_shrub,56.4,8.46,gC m-2 y-1,ANPP Shrub (~50%C),ANPP Shrub (~50%C),SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,shrub,14,54.6,56.4,93.1,9.4,-369.9,measured shrub aboveground NPP
US-SPR,TAMB,P07,Amb,0,2016,BGNPP_pftgroup_woody,9.4,1.41,gC m-2 y-1,BNPP Tree & Shrub,BNPP Tree & Shrub,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,woody,"3,5,14",54.6,56.4,93.1,9.4,-369.9,measured combined tree and shrub belowground NPP
US-SPR,TAMB,P07,Amb,0,2016,NPP_pftgroup_moss,93.1,13.965,gC m-2 y-1,NPP Sphag.,NPP Sphag.,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,moss,18,54.6,56.4,93.1,9.4,-369.9,measured sphagnum NPP
US-SPR,TAMB,P07,Amb,0,2016,HR,369.9,55.485,gC m-2 y-1,RHCO2,RHCO2,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,,,54.6,56.4,93.1,9.4,-369.9,RHCO2 sign flipped so positive values match model HR
US-SPR,T0.00,P06,0,0,2016,NPP,274.8,41.22,gC m-2 y-1,total_npp,ANPP Tree (~48%C)+ANPP Shrub (~50%C)+NPP Sphag.+BNPP Tree & Shrub,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,,,45.9,55.3,110.1,63.5,-352.7,"sum of tree ANPP, shrub ANPP, sphagnum NPP, and tree/shrub BNPP"
US-SPR,T0.00,P06,0,0,2016,AGNPP_pftgroup_tree,45.9,6.885,gC m-2 y-1,ANPP Tree (~48%C),ANPP Tree (~48%C),SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,tree,"3,5",45.9,55.3,110.1,63.5,-352.7,measured tree aboveground NPP
US-SPR,T0.00,P06,0,0,2016,AGNPP_pftgroup_shrub,55.3,8.295,gC m-2 y-1,ANPP Shrub (~50%C),ANPP Shrub (~50%C),SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,shrub,14,45.9,55.3,110.1,63.5,-352.7,measured shrub aboveground NPP
US-SPR,T0.00,P06,0,0,2016,BGNPP_pftgroup_woody,63.5,9.525,gC m-2 y-1,BNPP Tree & Shrub,BNPP Tree & Shrub,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,woody,"3,5,14",45.9,55.3,110.1,63.5,-352.7,measured combined tree and shrub belowground NPP
US-SPR,T0.00,P06,0,0,2016,NPP_pftgroup_moss,110.1,16.515,gC m-2 y-1,NPP Sphag.,NPP Sphag.,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,moss,18,45.9,55.3,110.1,63.5,-352.7,measured sphagnum NPP
US-SPR,T0.00,P06,0,0,2016,HR,352.7,52.905,gC m-2 y-1,RHCO2,RHCO2,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,,,45.9,55.3,110.1,63.5,-352.7,RHCO2 sign flipped so positive values match model HR
US-SPR,T2.25,P20,0,2.25,2016,NPP,476.7,71.505,gC m-2 y-1,total_npp,ANPP Tree (~48%C)+ANPP Shrub (~50%C)+NPP Sphag.+BNPP Tree & Shrub,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,,,146.3,131.4,91.4,107.6,-439.5,"sum of tree ANPP, shrub ANPP, sphagnum NPP, and tree/shrub BNPP"
US-SPR,T2.25,P20,0,2.25,2016,AGNPP_pftgroup_tree,146.3,21.945,gC m-2 y-1,ANPP Tree (~48%C),ANPP Tree (~48%C),SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,tree,"3,5",146.3,131.4,91.4,107.6,-439.5,measured tree aboveground NPP
US-SPR,T2.25,P20,0,2.25,2016,AGNPP_pftgroup_shrub,131.4,19.71,gC m-2 y-1,ANPP Shrub (~50%C),ANPP Shrub (~50%C),SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,shrub,14,146.3,131.4,91.4,107.6,-439.5,measured shrub aboveground NPP
US-SPR,T2.25,P20,0,2.25,2016,BGNPP_pftgroup_woody,107.6,16.14,gC m-2 y-1,BNPP Tree & Shrub,BNPP Tree & Shrub,SPRUCE C Budget Summary 19JAN2025_natalie.xlsx,woody,"3,5,14",146.3,131.4,91.4,107.6,-439.5,measured combined tree and shrub belowground NPP
